<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;29.10.2018;12:48;110780,0000000;110790,0000000;110760,0000000;110760,0000000;232
SPFB.RTS-12.18;1;29.10.2018;12:49;110780,0000000;110800,0000000;110700,0000000;110730,0000000;687
SPFB.RTS-12.18;1;29.10.2018;12:50;110730,0000000;110770,0000000;110720,0000000;110750,0000000;171
SPFB.RTS-12.18;1;29.10.2018;12:51;110740,0000000;110780,0000000;110730,0000000;110760,0000000;445
SPFB.RTS-12.18;1;29.10.2018;12:52;110770,0000000;110770,0000000;110700,0000000;110710,0000000;391
SPFB.RTS-12.18;1;29.10.2018;12:53;110720,0000000;110740,0000000;110700,0000000;110740,0000000;311
SPFB.RTS-12.18;1;29.10.2018;12:54;110750,0000000;110760,0000000;110730,0000000;110740,0000000;296
SPFB.RTS-12.18;1;29.10.2018;12:55;110740,0000000;110790,0000000;110730,0000000;110750,0000000;504
SPFB.RTS-12.18;1;29.10.2018;12:56;110760,0000000;110770,0000000;110700,0000000;110720,0000000;384
SPFB.RTS-12.18;1;29.10.2018;12:57;110720,0000000;110730,0000000;110690,0000000;110700,0000000;182
SPFB.RTS-12.18;1;29.10.2018;12:58;110700,0000000;110810,0000000;110700,0000000;110810,0000000;1063
SPFB.RTS-12.18;1;29.10.2018;12:59;110810,0000000;110830,0000000;110790,0000000;110800,0000000;610
SPFB.RTS-12.18;1;29.10.2018;13:00;110800,0000000;110850,0000000;110790,0000000;110840,0000000;1212
SPFB.RTS-12.18;1;29.10.2018;13:01;110840,0000000;110940,0000000;110830,0000000;110870,0000000;2663
SPFB.RTS-12.18;1;29.10.2018;13:02;110870,0000000;110950,0000000;110860,0000000;110920,0000000;903
SPFB.RTS-12.18;1;29.10.2018;13:03;110910,0000000;110970,0000000;110900,0000000;110970,0000000;1014
SPFB.RTS-12.18;1;29.10.2018;13:04;110970,0000000;110980,0000000;110940,0000000;110960,0000000;1002
SPFB.RTS-12.18;1;29.10.2018;13:05;110950,0000000;111000,0000000;110940,0000000;111000,0000000;978
SPFB.RTS-12.18;1;29.10.2018;13:06;110990,0000000;111040,0000000;110970,0000000;111020,0000000;1527
SPFB.RTS-12.18;1;29.10.2018;13:07;111020,0000000;111100,0000000;111000,0000000;111070,0000000;1599
SPFB.RTS-12.18;1;29.10.2018;13:08;111070,0000000;111260,0000000;111070,0000000;111150,0000000;3808
SPFB.RTS-12.18;1;29.10.2018;13:09;111170,0000000;111240,0000000;111150,0000000;111220,0000000;1319
SPFB.RTS-12.18;1;29.10.2018;13:10;111220,0000000;111250,0000000;111160,0000000;111230,0000000;1174
SPFB.RTS-12.18;1;29.10.2018;13:11;111230,0000000;111270,0000000;111170,0000000;111230,0000000;1149
SPFB.RTS-12.18;1;29.10.2018;13:12;111220,0000000;111360,0000000;111200,0000000;111210,0000000;1980
SPFB.RTS-12.18;1;29.10.2018;13:13;111220,0000000;111240,0000000;111150,0000000;111160,0000000;1000
SPFB.RTS-12.18;1;29.10.2018;13:14;111160,0000000;111240,0000000;111150,0000000;111170,0000000;622
SPFB.RTS-12.18;1;29.10.2018;13:15;111170,0000000;111190,0000000;111140,0000000;111170,0000000;588
SPFB.RTS-12.18;1;29.10.2018;13:16;111160,0000000;111210,0000000;111130,0000000;111150,0000000;664
SPFB.RTS-12.18;1;29.10.2018;13:17;111160,0000000;111190,0000000;111120,0000000;111140,0000000;431
SPFB.RTS-12.18;1;29.10.2018;13:18;111150,0000000;111160,0000000;111090,0000000;111120,0000000;605
SPFB.RTS-12.18;1;29.10.2018;13:19;111130,0000000;111210,0000000;111120,0000000;111200,0000000;592
SPFB.RTS-12.18;1;29.10.2018;13:20;111200,0000000;111240,0000000;111160,0000000;111200,0000000;552
SPFB.RTS-12.18;1;29.10.2018;13:21;111190,0000000;111250,0000000;111180,0000000;111180,0000000;505
SPFB.RTS-12.18;1;29.10.2018;13:22;111180,0000000;111210,0000000;111160,0000000;111200,0000000;307
SPFB.RTS-12.18;1;29.10.2018;13:23;111210,0000000;111250,0000000;111160,0000000;111190,0000000;487
SPFB.RTS-12.18;1;29.10.2018;13:24;111200,0000000;111260,0000000;111190,0000000;111200,0000000;472
SPFB.RTS-12.18;1;29.10.2018;13:25;111210,0000000;111240,0000000;111190,0000000;111210,0000000;208
SPFB.RTS-12.18;1;29.10.2018;13:26;111220,0000000;111340,0000000;111210,0000000;111290,0000000;776
SPFB.RTS-12.18;1;29.10.2018;13:27;111290,0000000;111340,0000000;111240,0000000;111240,0000000;610
SPFB.RTS-12.18;1;29.10.2018;13:28;111250,0000000;111310,0000000;111210,0000000;111210,0000000;523
SPFB.RTS-12.18;1;29.10.2018;13:29;111210,0000000;111240,0000000;111200,0000000;111240,0000000;199
SPFB.RTS-12.18;1;29.10.2018;13:30;111240,0000000;111250,0000000;111200,0000000;111210,0000000;205
SPFB.RTS-12.18;1;29.10.2018;13:31;111230,0000000;111270,0000000;111120,0000000;111140,0000000;644
SPFB.RTS-12.18;1;29.10.2018;13:32;111150,0000000;111220,0000000;111130,0000000;111200,0000000;293
